Index,Title,URL,Album ID,Track Count
86,ALBUM 500 (draft),https://rsteviemoore.bandcamp.com/album/album-500-draft,2052614719,22
87,Another White Negativgg R (draft),https://rsteviemoore.bandcamp.com/album/another-white-negativgg-r-draft,973163600,14
88,Autographed Blank Tape (draft),https://rsteviemoore.bandcamp.com/album/autographed-blank-tape-draft,556288542,21
89,r. stevie moore Shifts Gears (drift),https://rsteviemoore.bandcamp.com/album/r-stevie-moore-shifts-gears-drift,3906257333,10
90,Go Get Some Followers (Why Should I?) (draft),https://rsteviemoore.bandcamp.com/album/go-get-some-followers-why-should-i-draft,3882894088,5
91,Phantom Fantasy -Live at Ryman (draft)(drafty),https://rsteviemoore.bandcamp.com/album/phantom-fantasy-live-at-ryman-draft-drafty,278058752,4
92,Drugs For Peace (draft),https://rsteviemoore.bandcamp.com/album/drugs-for-peace-draft,1223140763,34
93,Cheap Executive Officer: Music Modernization Act (draft),https://rsteviemoore.bandcamp.com/album/cheap-executive-officer-music-modernization-act-draft,2216945570,2
94,How Did Mama & Daddy Die On the Same Day? (draft),https://rsteviemoore.bandcamp.com/album/how-did-mama-daddy-die-on-the-same-day-draft,2527977254,13
95,LOVE GRAPH / TIGHTWAD (1973 rare single),https://rsteviemoore.bandcamp.com/album/love-graph-tightwad-1973-rare-single,3766290140,3
96,Pointless Soundcloud Demos Remixed (draft),https://rsteviemoore.bandcamp.com/album/pointless-soundcloud-demos-remixed-draft,4114723987,8
97,I Probably Play Like That Forever,https://rsteviemoore.bandcamp.com/album/i-probably-play-like-that-forever,4038965376,12
98,Rocktoberfesteringwoundpus County Seat,https://rsteviemoore.bandcamp.com/album/rocktoberfesteringwoundpus-county-seat,50076551,15
99,INSISTENCE: unfounded sound,https://rsteviemoore.bandcamp.com/album/insistence-unfounded-sound,4078641602,143
100,MISHEGAS,https://rsteviemoore.bandcamp.com/album/mishegas,4128510100,38
101,The WHEN WHERE 😘♥️🙌😍💋,https://rsteviemoore.bandcamp.com/album/the-when-where,1381154053,31
102,The THEN THERE 😘♥️🙌😍💋,https://rsteviemoore.bandcamp.com/album/the-then-there,535547714,63
103,.,https://rsteviemoore.bandcamp.com/album/--6,2197419047,1
104,24.7 Temperament 51-49 (radio copy VG+),https://rsteviemoore.bandcamp.com/album/247-temperament-51-49-radio-copy-vg,2089357732,97
105,Cancel & Gretel,https://rsteviemoore.bandcamp.com/album/cancel-gretel,1729281277,62
106,Copy Me: RSM Tribute 12,https://rsteviemoore.bandcamp.com/album/copy-me-rsm-tribute-12,3929501563,32
107,Afterlife,https://rsteviemoore.bandcamp.com/album/afterlife,1646890653,20
108,Make It Be >linked!,https://rsteviemoore.bandcamp.com/album/make-it-be-linked,3496639184,37
109,LET'S!,https://rsteviemoore.bandcamp.com/album/lets-2,2867617658,14
110,NAP,https://rsteviemoore.bandcamp.com/album/nap,1565252101,41
